n°;clasificacion;cuartel;fecha;dia;hora;delito;direccion;dir_com;latitud;longitud;este (x);norte (y);cuadrante;dir_com
1;DENUNCIA;TENENCIA CENTENARIO;27-02-2022;DOMINGO;11:30;ROBO DE ACCESORIOS DE VEHICULOS;1177-MARCONI  Los Ángeles  Biobio  Chile;;-37.45876;-72.341596;735127.852;5850915.071;6;
2;DENUNCIA;1RA. COM. LOS ANGELES;21-02-2022;LUNES;3:00;ROBO DE ACCESORIOS DE VEHICULOS;121-LOS CANELOS  Los Ángeles  Biobio  Chile;;-37.4690784;-72.3793859;731752.954;5849863.745;2;
3;DENUNCIA;1RA. COM. LOS ANGELES;21-02-2022;LUNES;17:30;ROBO DE ACCESORIOS DE VEHICULOS;190-ERCILLA  Los Ángeles  Biobio  Chile;;-37.471686;-72.355619;733847.028;5849515.573;2;
4;DENUNCIA;1RA. COM. LOS ANGELES;21-02-2022;LUNES;18:10;ROBO DE ACCESORIOS DE VEHICULOS;440-VALDIVIA  Los Ángeles  Biobio  Chile;;-37.46854;-72.3527299;734112.384;5849857.51;1;
5;DENUNCIA;1RA. COM. LOS ANGELES;21-02-2022;LUNES;17:05;ROBO DE ACCESORIOS DE VEHICULOS;190-ERCILLA  Los Ángeles  Biobio  Chile;;-37.471686;-72.355619;733847.028;5849515.573;2;
6;DENUNCIA;1RA. COM. LOS ANGELES;21-02-2022;LUNES;17:50;ROBO DE ACCESORIOS DE VEHICULOS;284-AV. RICARDO VICUÑA  Los Ángeles  Biobio  Chile;;-37.4738253;-72.3490571;734420.729;5849261.839;1;
7;DENUNCIA;1RA. COM. LOS ANGELES;23-02-2022;MIERCOLES;11:50;ROBO DE ACCESORIOS DE VEHICULOS;245-MARATON  Los Ángeles  Biobio  Chile;;-37.4708926;-72.3398308;735245.956;5849564.264;3;
8;DENUNCIA;1RA. COM. LOS ANGELES;24-02-2022;JUEVES;5:00;ROBO DE ACCESORIOS DE VEHICULOS;12-LAS PALMERAS  Los Ángeles  Biobio  Chile;;-37.4822463;-72.3672658;732784.105;5848372.547;2;
9;DENUNCIA;1RA. COM. LOS ANGELES;25-02-2022;VIERNES;20:40;ROBO DE ACCESORIOS DE VEHICULOS;ERCILLA & 190  Los Ángeles  Biobio  Chile;;-37.471686;-72.355619;733847.028;5849515.573;2;
10;DENUNCIA;1RA. COM. LOS ANGELES;25-02-2022;VIERNES;22:15;ROBO DE ACCESORIOS DE VEHICULOS;1905-RICARDO VICUÑA  Los Ángeles  Biobio  Chile;;-37.4719199;-72.3619096;733289.909;5849505.231;2;
11;DENUNCIA;1RA. COM. LOS ANGELES;25-02-2022;VIERNES;19:45;ROBO DE ACCESORIOS DE VEHICULOS;831-ALEMANIA  Los Ángeles  Biobio  Chile;;-37.4616668;-72.3435106;734949.376;5850597.275;3;
12;DENUNCIA;1RA. COM. LOS ANGELES;24-02-2022;JUEVES;20:30;ROBO DE ACCESORIOS DE VEHICULOS;645-MARCONI  Los Ángeles  Biobio  Chile;;-37.4666065;-72.3384897;735378.026;5850036.554;3;
13;DENUNCIA;1RA. COM. LOS ANGELES;27-02-2022;DOMINGO;14:05;ROBO DE ACCESORIOS DE VEHICULOS;1591-GABRIELA MISTRAL  Los Ángeles  Biobio  Chile;;-37.47316;-72.33015;736095.079;5849288.396;3;
14;DENUNCIA;1RA. COM. LOS ANGELES;27-02-2022;DOMINGO;16:30;ROBO DE ACCESORIOS DE VEHICULOS;600-AVDA. ALEMANIA  Los Ángeles  Biobio  Chile;;-37.4685163;-72.340381;735204.743;5849829.346;3;
15;DENUNCIA;1RA. COM. LOS ANGELES;25-02-2022;VIERNES;23:00;ROBO DE ACCESORIOS DE VEHICULOS;170-JUAN ANTONIO COLOMA  Los Ángeles  Biobio  Chile;;-37.4713719;-72.3466291;734643.152;5849528.049;3;
16;DENUNCIA;1RA. COM. LOS ANGELES;27-02-2022;DOMINGO;20:30;ROBO DE ACCESORIOS DE VEHICULOS;646-COLO COLO  Los Ángeles  Biobio  Chile;;-37.4692025;-72.3543207;733969.608;5849787.947;1;
17;DENUNCIA;R.SAN CARLOS 1A.LOS ANGELES;23-02-2022;MIERCOLES;5:20;ROBO DE ACCESORIOS DE VEHICULOS;RUTA 5 SUR km 518  Los Ángeles  Biobio  Chile;;-37.545191;-72.309934;737654.437;5841243.857;10;
18;DENUNCIA;RETÉN EL ALAMO;25-02-2022;VIERNES;7:00;ROBO DE ACCESORIOS DE VEHICULOS;RUTA 5 SUR KM. 500  Los Ángeles  Biobio  Chile;;-37.408724;-72.367836;732961.735;5856532.904;8;
19;DENUNCIA;TENENCIA CENTENARIO;23-02-2022;MIERCOLES;17:20;ROBO DE ACCESORIOS DE VEHICULOS;1177-MARCONI  Los Ángeles  Biobio  Chile;;-37.45876;-72.341596;735127.852;5850915.071;6;
20;DENUNCIA;TENENCIA CENTENARIO;25-02-2022;VIERNES;14:00;ROBO DE ACCESORIOS DE VEHICULOS;2575-SOR VICENTA  Los Ángeles  Biobio  Chile;;-37.4458142;-72.332652;735959.772;5852329.328;6;
21;DENUNCIA;TENENCIA CENTENARIO;25-02-2022;VIERNES;23:30;ROBO DE ACCESORIOS DE VEHICULOS;1590-ATENAS  Los Ángeles  Biobio  Chile;;-37.4507862;-72.3320958;735993.35;5851776.175;6;
22;DENUNCIA;SCOM. PAILLIHUE;24-02-2022;JUEVES;14:10;ROBO DE ACCESORIOS DE VEHICULOS;297-FRANCISCO ENCINA  Los Ángeles  Biobio  Chile;;-37.4870598;-72.3406126;735126.1;5847772.087;4;
23;DENUNCIA;1RA. COM. LOS ANGELES;24-02-2022;JUEVES;22:00;ROBO DE ACCESORIOS DE VEHICULOS;1905-RICARDO VICUÑA  Los Ángeles  Biobio  Chile;;-37.4719199;-72.3619096;733289.909;5849505.231;2;
24;DENUNCIA;1RA. COM. LOS ANGELES;21-02-2022;LUNES;6:00;ROBO DE ACCESORIOS DE VEHICULOS;750-COMANDANTE DUBLE ALMEYDA  Los Ángeles  Biobio  Chile;;-37.4653266;-72.341727;735095.684;5850186.681;3;
25;DENUNCIA;SCOM. CB 1RO. R. SEPULVEDA P.;26-02-2022;SABADO;14:40;ROBO DE ACCESORIOS DE VEHICULOS;EX RUTA 5 SUR & KM 481  Los Ángeles  Biobio  Chile;;-37.243102;-72.365431;733687.426;5874906.142;RURAL;
26;DENUNCIA;SCOM. CB 1RO. R. SEPULVEDA P.;26-02-2022;SABADO;14:50;ROBO DE ACCESORIOS DE VEHICULOS;EX RUTA 5 SUR KM 482  Los Ángeles  Biobio  Chile;;-37.263022;-72.356651;734404.586;5872673.895;RURAL;
27;DENUNCIA;SCOM. CB 1RO. R. SEPULVEDA P.;26-02-2022;SABADO;18:37;ROBO DE ACCESORIOS DE VEHICULOS;661-AV. SALTO DEL LAJA  Los Ángeles  Biobio  Chile;;-37.4830789;-72.3699983;732539.872;5848286.909;RURAL;
28;DENUNCIA;1RA. COM. LOS ANGELES;26-02-2022;SABADO;10:50;ROBO DE VEHICULO MOTORIZADO;135-DR. COSSIO  Los Ángeles  Biobio  Chile;;-37.4694137;-72.3460444;734700.996;5849743.899;3;
29;DENUNCIA;1RA. COM. LOS ANGELES;27-02-2022;DOMINGO;6:00;ROBO DE VEHICULO MOTORIZADO;247-OHIGGINS  Los Ángeles  Biobio  Chile;;-37.4748331;-72.3515373;734198.219;5849156.177;1;
30;DENUNCIA;TENENCIA CENTENARIO;26-02-2022;SABADO;10:10;ROBO DE VEHICULO MOTORIZADO;2459-NEVADOS DE CHILLAN  Los Ángeles  Biobio  Chile;;-37.4468987;-72.3351945;735731.408;5852215.347;6;
31;DENUNCIA;SCOM. PAILLIHUE;22-02-2022;MARTES;6:40;ROBO DE VEHICULO MOTORIZADO;218-LOS MANZANOS  Los Ángeles  Biobio  Chile;;-37.4852454;-72.3503102;734274.21;5847997.634;4;
32;DENUNCIA;RETÉN TUCAPEL;26-02-2022;SABADO;19:30;ROBO DE VEHICULO MOTORIZADO;30-LOS CANELOS  Los Ángeles  Biobio  Chile;;-37.4690784;-72.3793859;731752.954;5849863.745;TUCAPEL;
33;DENUNCIA;1RA. COM. LOS ANGELES;21-02-2022;LUNES;4:10;ROBO EN LUGAR HABITADO O DESTINADO A LA HAB.;3-RUTA A 180  Los Ángeles  Biobio  Chile;;-37.4629159;-72.3612251;733378.465;5850502.734;2;
